,state,2018
0,Colorado,81665
1,Indiana,29453
2,Kentucky,19302
3,Louisiana,23178
4,Illinois,582223
5,Iowa,16184
6,New Hampshire,6431
7,Arkansas,5009
8,Delaware,9756
9,Minnesota,103737
10,Montana,3876
11,Maine,3987
12,North Carolina,47231
13,Georgia,98172
14,Alaska,4382
15,Alabama,6983
16,Vermont,2776
17,Nevada,41741
18,West Virginia,6188
19,Oklahoma,8202
20,Wisconsin,44332
21,Puerto Rico,17251
22,Virginia,191112
23,North Dakota,2939
24,South Carolina,12747
25,Oregon,84316
26,Wyoming,3497
27,California,914825
28,Mississippi,3048
29,Connecticut,79644
30,Texas,176785
31,Maryland,242247
32,Florida,158654
33,Massachusetts,363460
34,District of Columbia,130216
35,Utah,32863
36,New York,2607925
37,New Jersey,514636
38,Ohio,87413
39,Missouri,37161
40,Pennsylvania,353633
41,Michigan,62919
42,Nebraska,5579
43,Idaho,6348
44,New Mexico,9533
45,Hawaii,40582
46,South Dakota,1100
47,Washington,255079
48,Rhode Island,11651
49,Arizona,53718
50,Tennessee,19267
51,Kansas,6819
